0,0,0
3520,3520
110,110
110,110
1760,1760
110,110
110,110
110,110
880,880
110,110
1760,1760
3520,3520
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
3520,3520
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
880,880
1760,1760
110,110
1760,1760
1760,1760
1760,1760
1760,1760
110,110
880,880
1760,1760
1760,1760
3520,3520
1760,1760
3520,3520
3520,3520
1760,1760
1760,1760
1760,1760
3520,3520
3520,3520
3520,3520
3520,3520
7040,7040
1760,1760
1760,1760
3520,3520
3520,3520
3520,3520
1760,1760
3520,3520
1760,1760
3520,3520
3520,3520
3520,3520
3520,3520
3520,3520
110,110
110,110
110,110
3520,3520
880,880
1760,1760
7040,7040
1760,1760
7040,7040
7040,7040
3520,3520
7040,7040
7040,7040
7040,7040
7040,7040
3520,3520
3520,3520
1760,1760
3520,3520
3520,3520
3520,3520
110,110
1760,1760
1760,1760
1760,1760
110,110
1760,1760
1760,1760
1760,1760
110,110
110,110
1760,1760
880,880
27.5,27.5
27.5,27.5
1760,1760
3520,3520
3520,3520
3520,3520
27.5,27.5
27.5,27.5
880,880
3520,3520
7040,7040
1760,1760
880,880
27.5,27.5
3520,3520
3520,3520
1760,1760
3520,3520
1760,1760
3520,3520
1760,1760
1760,1760
1760,1760
27.5,27.5
880,880
3520,3520
55,55
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
3520,3520
3520,3520
1760,1760
880,880
1760,1760
1760,1760
3520,3520
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
7040,7040
14080,14080
14080,14080
14080,14080
1760,1760
1760,1760
7040,7040
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
3520,3520
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
3520,3520
880,880
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
880,880
27.5,27.5
880,880
880,880
1760,1760
1760,1760
27.5,27.5
27.5,27.5
27.5,27.5
27.5,27.5
1760,1760
1760,1760
880,880
3520,3520
7040,7040
7040,7040
14080,14080
7040,7040
1760,1760
1760,1760
1760,1760
1760,1760
1760,1760
3520,3520
