5919.91,349.23,2093
0,0,698.46
6271.93,349.23,0
0,5587.65,698.46
0,5587.65,0
0,6644.88,349.23
0,5587.65,6644.88
0,2093,698.46
349.23,0,5587.65
0,6644.88,0
349.23,0,0
0,6644.88,5587.65
349.23,0,6644.88
0,6644.88,2093
0,0,2349.32
7458.62,0,2093
0,6271.93,6644.88
698.46,349.23,8372.02
0,6644.88,349.23
0,0,7458.62
0,5587.65,0
0,2093,4434.92
5587.65,0,2093
0,349.23,5587.65
0,0,349.23
349.23,5587.65,6644.88
0,6644.88,5587.65
0,4698.64,5587.65
0,6644.88,4434.92
698.46,6644.88,4434.92
5587.65,4434.92,0
5587.65,0,0
698.46,4434.92,0
6644.88,349.23,9956.06
1046.5,1396.91,6644.88
0,0,0
698.46,349.23,2093
349.23,698.46,0
4434.92,0,698.46
6644.88,1046.5,0
0,4434.92,698.46
6644.88,0,5587.65
5587.65,0,2093
0,6644.88,2093
0,6644.88,6271.93
0,4434.92,2093
7458.62,0,0
8372.02,4698.64,0
6644.88,5274.04,0
8372.02,349.23,6644.88
349.23,0,2093
0,5587.65,0
0,698.46,0
5274.04,698.46,6271.93
0,0,1046.5
0,0,349.23
698.46,2349.32,0
7040,0,349.23
349.23,0,5274.04
2093,5274.04,0
5274.04,0,349.23
2093,698.46,5274.04
6271.93,0,2093
0,349.23,6271.93
698.46,6271.93,2349.32
0,349.23,0
349.23,0,5274.04
698.46,2093,0
349.23,0,0
0,349.23,0
6271.93,5274.04,4698.64
5274.04,0,4698.64
0,6271.93,0
349.23,0,6271.93
0,698.46,0
0,0,349.23
0,0,6271.93
0,6271.93,349.23
0,6271.93,0
698.46,6271.93,1046.5
0,0,4698.64
0,5274.04,0
0,349.23,0
349.23,698.46,0
0,698.46,0
349.23,5274.04,0
698.46,5274.04,3729.31
5274.04,349.23,0
349.23,6271.93,1046.5
6271.93,0,5919.91
0,0,6271.93
349.23,5274.04,0
0,0,5274.04
6271.93,5274.04,0
0,0,4698.64
0,349.23,0
5274.04,0,349.23
5274.04,0,0
0,0,2093
349.23,0,4698.64
0,6271.93,0
0,0,6271.93
349.23,0,6271.93
6271.93,349.23,1046.5
0,0,6271.93
0,5274.04,0
349.23,5274.04,0
349.23,698.46,0
5274.04,6271.93,0
698.46,5274.04,4698.64
0,349.23,4698.64
0,0,0
5274.04,0,698.46
0,5274.04,6271.93
6271.93,0,5274.04
698.46,7458.62,7040
349.23,0,698.46
0,349.23,0
0,1396.91,1760
349.23,0,698.46
698.46,349.23,7040
349.23,0,0
0,1046.5,349.23
698.46,349.23,0
0,349.23,0
0,349.23,1046.5
0,349.23,698.46
0,698.46,349.23
1046.5,0,0
698.46,0,349.23
349.23,0,0
349.23,698.46,0
349.23,0,1760
0,0,4434.92
349.23,0,4434.92
7040,6644.88,7458.62
349.23,2093,0
4434.92,349.23,0
0,349.23,4434.92
0,4434.92,0
5587.65,4698.64,0
0,0,698.46
349.23,0,4434.92
349.23,0,4434.92
0,0,4434.92
0,349.23,0
0,6271.93,6644.88
0,698.46,0
349.23,1760,5919.91
349.23,0,0
0,4698.64,0
4434.92,698.46,8372.02
349.23,4698.64,4434.92
349.23,0,698.46
0,349.23,0
0,698.46,0
349.23,0,698.46
349.23,0,698.46
0,7040,5587.65
698.46,0,4698.64
5587.65,6644.88,0
349.23,5587.65,0
698.46,0,4434.92
698.46,4434.92,6271.93
0,7040,698.46
0,349.23,0
698.46,0,0
0,698.46,0
698.46,1396.91,349.23
2093,1396.91,4434.92
349.23,0,698.46
0,698.46,0
349.23,0,6271.93
0,1760,0
0,5587.65,0
349.23,0,5587.65
1760,349.23,0
0,1396.91,0
349.23,0,2093
1760,0,0
7040,0,0
7040,0,349.23
698.46,0,0
2349.32,0,1046.5
349.23,0,1046.5
7040,6644.88,0
698.46,7040,0
0,7040,2093
0,0,698.46
698.46,5274.04,349.23
0,2349.32,5274.04
6271.93,0,5274.04
349.23,0,4186.01
698.46,0,0
5274.04,0,349.23
349.23,0,5274.04
0,4698.64,0
0,349.23,5274.04
349.23,0,2093
0,349.23,0
0,0,349.23
0,349.23,4698.64
5274.04,0,349.23
0,5274.04,0
349.23,0,7040
349.23,0,6271.93
0,6271.93,7040
0,6271.93,5274.04
5274.04,0,6271.93
6271.93,0,0
0,0,7040
349.23,0,7040
7040,6271.93,0
5274.04,0,349.23
349.23,0,0
5274.04,2093,1046.5
349.23,0,5274.04
349.23,5274.04,4698.64
0,698.46,5274.04
7040,4698.64,0
349.23,0,1046.5
1046.5,349.23,0
0,6271.93,698.46
5919.91,0,1046.5
0,2093,0
2093,0,4186.01
4186.01,2093,1046.5
6271.93,7040,5274.04
0,4698.64,7040
349.23,0,4698.64
1046.5,0,1396.91
1046.5,0,0
1046.5,0,349.23
6271.93,1046.5,0
5274.04,0,7040
6271.93,2349.32,7040
6271.93,2793.83,2349.32
6271.93,0,7040
1396.91,0,2349.32
698.46,4698.64,0
0,0,4698.64
5274.04,0,4698.64
5274.04,0,0
0,0,5919.91
